"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77142","Crécy-la-Chapelle",121,538,26,572,4,21,385,607,14,149,14,3054,548,2506,42,13,2451
"77143","Crégy-lès-Meaux",164,604,35,302,6,15,583,582,12,145,32,3089,551,2538,37,21,2480
"77149","Cucharmoy",7,26,1,33,0,1,18,58,0,17,1,181,17,164,2,0,162
"77150","Cuisy",9,26,6,48,0,3,33,97,0,17,1,302,59,243,2,1,240
"77065","Cély",19,178,6,207,1,11,89,193,2,45,3,940,174,766,9,3,754
"77151","Dagny",7,42,1,36,0,1,19,72,0,8,2,242,52,190,2,0,188
"77152","Dammarie-les-Lys",602,2027,117,1248,14,64,2383,1574,56,433,96,12496,3668,8828,146,68,8614
"77153","Dammartin-en-Goële",250,1038,65,766,4,31,984,1209,32,304,45,5853,1004,4849,89,32,4728
"77154","Dammartin-sur-Tigeaux",17,122,7,81,1,11,112,148,2,38,7,634,71,563,14,3,546
"77155","Dampmart",111,398,12,305,4,19,355,440,8,141,18,2252,405,1847,29,7,1811
"77156","Darvault",28,109,5,93,3,1,64,129,2,38,5,602,110,492,11,4,477
"77157","Dhuisy",2,36,5,23,1,1,24,74,1,8,1,220,40,180,1,3,176
"77158","Diant",5,28,1,40,0,1,26,42,1,10,2,184,20,164,2,6,156
"77159","Donnemarie-Dontilly",67,247,18,263,4,12,307,535,12,89,12,1941,337,1604,29,9,1566
"77161","Dormelles",27,114,2,122,0,4,84,128,1,33,6,644,116,528,3,4,521
"77162","Doue",22,108,4,101,0,6,121,189,2,44,6,753,137,616,10,3,603
"77163","Douy-la-Ramée",6,29,3,25,0,3,30,63,0,14,2,218,37,181,5,1,175
"77164","Echouboulains",14,55,3,68,0,3,69,93,2,27,5,400,49,351,10,2,339
"77167","Egligny",4,12,2,25,1,1,27,85,0,8,2,224,56,168,1,0,167
"77168","Egreville",45,211,12,255,5,11,191,379,3,65,16,1511,283,1228,2,33,1193
"77169","Emerainville",252,969,58,576,5,26,957,575,18,218,42,4665,869,3796,66,34,3696
"77171","Esbly",204,720,32,591,3,28,672,719,11,198,33,3964,671,3293,59,23,3211
"77172","Esmans",27,102,4,100,1,8,97,143,2,43,8,666,123,543,6,2,535
"77173","Etrépilly",21,80,7,56,0,7,91,174,2,42,2,622,127,495,11,2,482
"77174","Everly",24,60,3,42,1,4,72,131,4,31,3,458,68,390,15,0,375
"77175","Evry-Grégy-sur-Yerre",67,375,7,339,5,3,272,430,11,166,9,2008,291,1717,28,5,1684
"77176","Faremoutiers",76,264,21,266,2,6,299,449,7,116,17,2032,459,1573,3,47,1523
"77177","Favières",28,164,10,133,0,2,99,152,2,40,3,783,135,648,12,3,633
"77178","Faÿ-lès-Nemours",14,58,2,72,0,1,51,76,0,21,3,351,42,309,11,0,298
"77181","Ferrières-en-Brie",84,458,17,297,0,14,327,325,11,100,13,1907,223,1684,25,13,1646
"77184","Flagy",27,84,6,68,1,0,99,96,0,36,3,515,80,435,13,2,420
"77185","Fleury-en-Bière",18,72,3,170,0,2,41,102,1,18,5,500,59,441,5,4,432
"77187","Fontaine-Fourches",11,43,0,73,2,1,29,122,2,20,3,429,116,313,5,2,306
"77188","Fontaine-le-Port",27,185,6,154,1,7,96,110,0,43,2,758,113,645,12,2,631
"77186","Fontainebleau",430,2044,82,2839,9,30,1056,846,18,308,50,10210,2357,7853,105,36,7712
"77190","Fontains",5,19,0,42,0,0,20,60,3,23,1,209,32,177,4,0,173
"77191","Fontenailles",45,111,8,80,0,8,140,220,0,49,2,809,138,671,7,1,663
"77192","Fontenay-Trésigny",117,561,25,437,4,14,544,890,11,186,23,3691,812,2879,51,16,2812
"77193","Forfry",4,24,0,31,0,3,25,59,1,11,1,183,24,159,0,0,159
"77194","Forges",10,36,5,38,0,1,32,81,0,17,1,275,50,225,2,2,221
"77195","Fouju",23,73,2,55,3,2,48,139,2,30,4,475,86,389,6,2,381
"77196","Fresnes-sur-Marne",20,90,3,73,1,3,63,147,0,33,2,522,72,450,11,4,435
"77198","Fromont",4,21,0,45,0,2,14,31,0,7,2,154,23,131,4,1,126
"77197","Frétoy",2,12,0,21,0,0,15,37,1,9,0,116,11,105,7,1,97
